author,content
杨无咎,"昔在仁皇当极治。
南极星宫，曾降为嘉瑞。
犹有画图传好事。
身材只恐君今是。
对酒不妨同看戏。
他日功名，晏子堪为比。
更愿远孙逢九世。
安排君在鸡窠里。"
周邦彦,"良夜灯光簇如豆。
占好事、今宵有。
酒罢歌阑人散後。
琵琶轻放，语声低颤，灭烛来相就。
玉体偎人情何厚。
轻惜轻怜转唧。
雨散云收眉儿皱。
只愁彰露，那人知後。
把我来。"
晁端礼,"短亭杨柳接长亭。
攀折赠君行。
莫怪尊前无语，大多分外多情。
何须苦计，时间利禄，身後功名。
且尽十分芳酒，共倾一梦浮生。"
魏了翁,"庄敏传家，文安嫡胄，文惠诸孙。
两大相辉，晋秦匹国，韩盈门。
天风吹下双轩。
恰趁得、酴牡丹。
锦绣光中，殿春不老，阅岁长存。"
沈端节,"烟淡回塘。
月浸疏篁。
一枝□、压尽群芳。
修然风度，玉质金章。
有许多情，许多韵，许多香。
中酒情怀，琢句心肠。
倚屏山、子细端相。
冰芽初试，柑子新尝。
更绮窗前，冰壶畔，看匀妆。"
苏轼,"江南游女。
问我何年归得去。
雨细风微。
雨足如霜挽衣。
江亭夜语。
喜见京华新样舞。
莲步轻飞。
迁客今朝始是归。"
向子,"碧天如水，一洗秋容净。
何处飞来大明镜。
谁道斫却桂，应更光辉，无遗照，泻出山河倒影。
人犹苦馀热，肺腑生尘，移我超然到三境。
问娥、缘底事，乃有盈亏，烦玉斧、运风重整。
教夜夜、人世十分圆，待拚却长年，醉了还醒。"
方千里,"菱藕花开来路香。
满船丝竹载西凉。
波摇发彩粉生光。
翡翠双飞寻密浦，鸳鸯浓睡倚回塘。
闲情须与酒商量。"
杜安世,"烧残绛蜡泪成痕。
街鼓报黄昏。
碧云又阻来信，廊上月侵门。
愁永夜，拂香。
待谁温。
梦兰憔悴，掷果凄凉，两处消魂。"
朱敦儒,"月中玉兔日中鸦。
随我度年华。
不管寒暄风雨，饱饭热煎茶。
居士竹，故侯瓜。
老生涯。
自然天地，本分云山，到处为家。"
黄庭坚,"凤舞团团饼。
恨分破、教孤令。
金渠体净，只轮慢碾，玉尘光莹。
汤响松风，早减了、二分酒病。
味浓香永。
醉乡路、成佳镜。
恰如灯下，故人万里，归来对影。
口不能言，心下快活自省。"
张纲,"重帘卷尽楼台日。
华灯万点欢声入。
老病莫凭阑。
一城星斗寒。
艳妆翻舞雪。
目眩红生缬。
不是故无情。
羞君双鬓青。"
毛滂,"日照小窗纱，风动重帘绣。
宝炷暮云迷，曲沼晴漪皱。
烟暖柳醒松，雪尽梅清瘦。
恰是可怜时，好似花後。"
王安石,"归依法，法法不思议。
愿我六根常寂静，心如宝月映琉璃。
了法更无疑。"
舒づ,"小亭露厌风枝动。
鹊炉火冷金瓶冻。
悄悄对西窗。
瘦知罗带长。
欲眠思酒。
坐听寒更久。
无赖是青灯。
开花故故明。"
贺铸,"浅黛宜颦，明波欲溜。
逢迎宛似平生旧。
低鬟促坐认弦声，霞觞艳艳持为寿。
浓染吟毫，偷题醉袖。
寸心百意分携後。
不胜风月两厌厌，年来一样伤春瘦。"
黄机,"池落开遍莲房老。
秋声已入梧桐表。
葵扇与桃笙。
尚宜相带行。
危亭三百尺。
爽气真堪挹。
瀹茗且盘旋。
翩翩吾欲仙。"
晁补之,"庐山瑶草四时春。
烟锁上宫门。
记得南游，偶寻飞涧，一洗庾公尘。
香炉高咏君家事，文采近前人。
它日骑鲸，尚怜迷路，与问众仙真。"
张元干,"华裾玉辔青丝。
记年少、金吾从。
花底朝回珠翠拥。
晓钟初断，宿酲犹带，绿锁窗中梦。
天涯相遇鞭鸾凤。
老去堂成更情重。
月转檐牙云绕栋。
凉吹香雾，酒迷歌扇，春笋传杯送。"
晁端礼,"广寒宫殿，千里同云晓。
飞雪满空来，翦云英、群仙齐到。
乱飘僧舍，密处洒歌楼，闲日少。
风光好。
且共宾朋笑。
华堂深处，满满觥船掉。
梅蕊拆来看，已偷得、春风些小。
绮罗香暖，不怕卷珠帘，沈醉了。
樽前倒。
红袖休来叫。"
刘一止,"正五云飞杖，缟素褰裳，乱空交舞。
拂石归来，向玉阶微步。
欲唤冰娥，暂凭风使，为扫氛驱雾。
渐见停轮，人间未识，高空真侣。
千里无尘，地连天迥，倦客古来，路迷江树。
故国烟深，想溪树何处。
云鬓分行，翠眉萦曲，对夜寒尊俎。
清影徘徊，端应坐有，风流能赋。"
柳永,"厌厌夜饮平阳第。
添银烛、旋呼佳丽。
巧笑难禁，艳歌无间声相继。
准拟幕天席地。
金蕉叶泛金波齐，未更阑、已尽狂醉。
就中有个风流，暗向灯光底。
恼遍两行珠翠。"
黄庭坚,"举头无语。
家在月明生处住。
拟上摩围。
最上峰头试望之。
偏怜络秀。
苦淡同甘谁更有。
想见牵衣。
月到愁边总不知。"
张孝祥,"一叶凌波，十里驭风，烟鬟雾鬓萧萧。
认得兰皋琼佩，水馆冰绡。
秋霁明霞乍吐，曙凉宿霭初消。
恨微颦不语，少进还收，伫立超遥。
神交冉冉，愁思盈盈，断魂欲遣谁招。
犹自待，青鸾传信，乌鹊成桥。
怅望胎仙琴叠，忍看翡翠兰苕。
梦回人远，红云一片，天际笙箫。"
魏了翁,"早厌人间腐鼠，要希云外飞皇。
羲和不肯系朝阳。
任向鬓边来往。
出谷声中气味，编蒲册里晶光。
至今心胆为渠狂。
梦倚银潢天上。"
姚勉,"一叶新凉，又是西风，吹转素商。
揽玉壶英气，锺为人物，银河精采，融作文章。
司巧天公，搀先七夕，分付天孙云锦裳。
骑龙凤，自九霄飞至，万丈光芒。
早年奏赋长杨。
饱挹尽瀛洲风露香。
问石渠天禄，借将班马，荷山锦水，暂作龚黄。
药省春风，薇垣夜月，合佩仙花侍玉皇。
明年里，饮寿椒何处，宣劝持觞。"
仇远,"绮帷高揭。
风动流苏结。
兴在夜凉多处，兰烬短、半明灭。
醉彻。
香未绝。
紫箫声乍歇。
声入碧云堆里，还起舞、桂花月。"
王之道,"离筵暂住。
君在龙舒曾是主。
今作行人。
卧辙何妨借寇恂。
清歌妙舞。
断送吟鞭乘醉去。
一休辞。
捧爵佳人玉箸垂。"
张孝祥,"听话危亭句景。
芳郊迥、草长川永。
不待崇冈与峻岭。
倚栏杆，望无穷，心已领。
万事浮云影。
最旷阔、鹭闲鸥静。
好是炎天烟雨醒。
柳阴浓，芰荷香，风日冷。"
柳永,"花发西园，草薰南陌，韶光明媚，乍晴轻暖清明後。
水嬉舟动，禊饮筵开，银塘似染，金堤如绣。
是处王孙，几多游妓，往往携纤手。
遣离人、对嘉景，触目伤怀，尽成感旧。
别久。
帝城当日，兰堂夜烛，百万呼卢，画阁春风，十千沽酒。
未省、宴处能忘管弦，醉里不寻花柳。
岂知秦楼，玉箫声断，前事难重偶。
空遗恨，望仙乡，一饷消凝，泪沾襟袖。"
赵长卿,"霁霭迷空晓未收。
羁馆残灯，永夜悲秋。
梧桐叶上三更雨，别是人间一段愁。
睡又不成梦又休。
多愁多病，当甚风流。
真情一点苦萦人，才下眉尖，恰上心头。"
方岳,"月曰不然，君亦怎知，天上从前事。
吾语汝，月岂有弦时。
奈人间井观乃尔。
休浪许。
历家缪悠而已。
谁云魄死生明起。
又明死魄生，循环晦朔，有老兔、自熙熙。
妄相传、月溯日光馀。
嗟万古谁知了无亏。
玉斧修成，银蟾奔去，此言荒矣。
噫。
世已堪悲。
听君歌复解人颐。
桂魄何曾死，寒光不减些儿。
但与日相望，对如两镜，山河大地无疑似。
待既望观之。
冰轮渐侧，转斜才一钩耳。
论本来不与中秋异。
恐天问灵均未知此。
又底用、咸池重洗。
乾坤一点英气。
宁老人问世。
飞上天来，摩挲月去，才信有晴无雨。
人生圆缺几何其。
且徘徊、与君同醉。"
赵长卿,"合儿幽静处，围炉面小窗。
好是斗头儿坐，梅烟炷、返魂香。
对火怯夜冷，猛饮消漏长。
饮罢且收拾睡，斜月照、满帘霜。"
黄机,"别院春深，华堂昼永，嘉宴初启。
翠玉樽，红牙丝管，睡鸭沈烟里。
弄晴云态，行空絮影，漠漠似飞如坠。
最多情，紫绵团就，错落乱星流地。
史君自有，元龙豪气，唤客且休辞醉。
蝶困蜂酣，燕娇莺姹，欢意浓如此。
侃其笑语，止乎礼义，衣佩细纫兰芷。
遥归去，残更欲尽，晓鸦又起。"
朱敦儒,"放船纵棹，趁吴江风露，平分秋色。
帆卷垂虹波面冷，初落萧萧枫叶。
万顷琉璃，一轮金鉴，与我成三客。
碧空寥阔，瑞星银汉争白。
深夜悄悄鱼龙，灵旗收暮霭，天光相接。
莹澈乾坤，全放出、叠玉层冰宫阙。
洗尽凡心，相忘尘世，梦想都销歇。
胸中云海，浩然犹浸明月。"
张元干,"斗帐炷炉熏，花露成芗泽。
萦透雪儿金缕，醉玉壶春色。
非烟非雾锁窗中，王孙倦留客。
不道粉墙南畔，也有人闻得。"
吴文英,"几番时事重论，座中共惜斜阳下。
今朝翦柳，东风送客，功名近也。
约住飞花，暂听留燕，更攀情话。
问千牙过阙，一封入奏，忠孝事、都应写。
闻道兰台清暇。
载鸱夷、烟江一舸。
贞元旧曲，如今谁听，惟公和寡。
儿骑空迎，舜瞳回盼，玉阶前借。
便急回暖律，天边海上，正春寒夜。"
辛弃疾,"病绕梅花酒不空。
齿牙牢在莫欺翁。
恨无飞雪青松畔，却放疏花翠叶中。
冰作骨，玉为容。
当年宫额鬓云松。
直须烂醉烧银烛，横笛难堪一再风。"
丘,"风佩珊珊。
云屏曲曲，愁绝春悭。
无奈馀寒。
半醒宿酒，御夹成单。
深沈院落人闲。
凭阑处、眉颦黛残。
彩笔慵拈。
新声微度，兴入云山。"
李曾伯,"枫荻响飕飕。
长江六月秋。
二十年、重到沙头。
城郭人民那似旧，曾识面、两三鸥。
落日且登楼。
英雄休涕流。
望黄旗、王气东浮。
借问烟芜苍莽处，还莫是、古襄州。"
林正大,"子陵先生，故人光武，以道相忘。
幸炎符在握，六龙在御，臣来亿兆，阳德方刚。
自是先生，独全高节，归去江湖乐未央。
动星象，被羊裘傲睨，一世轩裳。
高哉不事侯王。
爱此地山高水更长。
盖先生心地，超乎日月，又谁如光武，器量包荒。
立懦廉顽，有功名教，万世清风更激扬。
无古今，想云山郁郁，江水泱泱。"
卢祖皋,"暖入新梢风又起。
秋千外、雾萦丝细。
鸠侣寒轻，燕泥香重，人在杏花窗里。
十二银屏山四倚。
春醪困、共篝沈水。
却说当时，柳啼花怨，魂梦为君迢递。"
朱敦儒,"闲愁无奈指频弹。
芳景为谁残。
可惜良宵虚过，且容草草谋欢。
招要楚雨，留连汉佩，多谢青鸾。
浓艳暗香争暖，罗帷不用遮寒。"
张抡,"碧海灵桃花朵朵。
阿母□□，□□□□□。
作夜海风吹玉颗。
分明□□□□□。
□□□□苞已破。
散液流□，馥郁□□□。
□□三偷谁可那。
如今先手还输我。"
吴则礼,"玉垒尊，清秋关塞，正宜催唤香醪。
凉风吹帽，横槊试登高。
相见征西旧事，龙山会、宾主俱豪。
来群雁，凉生画角，红叶聚亭皋。
南洲、应好在，长关梦眼，天际云涛。
有一簪黄菊，两鬓霜毛。
快把金荷共倒，凝望久、只遣魂消。
君须听，新翻燕乐，馀韵响檀槽。"
晏几道,"来时杨柳东桥路。
曲中暗有相期处。
明月好因缘。
欲圆还未圆。
欲寻芳草去。
画扇遮微雨。
飞絮莫无情。
闲花应笑人。"
赵鼎,"惨结秋阴，西风送、霏霏雨湿。
凄望眼、征鸿几字，暮投沙碛。
试问乡关何处是，水云浩荡迷南北。
但一抹、寒青有无中，遥山色。
天涯路，江上客。
肠欲断，头应白。
空搔首兴欢，暮年离拆。
须信道消忧除是酒，奈酒行有尽情无极。
便挽取、长江入尊，浇胸臆。"
卢祖皋,"段段寒沙浅水，萧萧暮雨孤篷。
香罗不共征衫远，砧杵客愁中。
别恨慵看杨柳，归期暗数芙蓉。
碧梧声到纱窗晓，昨夜几秋风。"
赵令,"楼上萦帘弱絮，墙头凝月低花。
年年春事关心事，肠断欲栖鸦。
舞镜鸾衾翠减，啼珠凤蜡红斜。
重门不锁相思梦，随意绕天涯。"
姜夔,"藓干石斜妨，玉蕊松低覆。
日暮冥冥一见来，略比年时瘦。
凉观酒初醒，竹阁吟才就。
犹恨幽香作许悭，小迟春心透。"
王以宁,"归来峰下霜如水。
明月三千里。
幽人独立瞰长淮。
谁棹扁舟一叶、趁潮来。
洞庭湖上银涛观。
忆我烟蓑伴。
此身天地一浮萍。
去国十年华发、欲星星。"
晏殊,"梨叶疏红蝉韵歇。
银汉风高，玉管声凄切。
枕簟乍凉铜漏咽。
谁教社燕轻离别。
草际蛩吟珠露结。
宿酒醒来，不记归时节。
多少衷肠犹未说。
朱帘一夜朦胧月。"
严仁,"最无端，官楼画角轻吹。
一声来、深闺深处，把人好梦惊回。
许多愁、尽教奴受，些个事、未必君知。
泪滴兰衾，寒生珠幌，翠云撩乱枕频。
窗儿上、几条残月，斜玉界罗帷。
更堪听，霜摧败叶，静扣朱扉。
念别离、千里万里，问何日是归期。
关情处、鱼来雁往，断肠是、兔走乌飞。
美景良辰，赏心乐事，风流孤负缕金衣。
谩赢得、花颜玉骨，瘦损为相思。
归须早，刘郎双鬓，莫遣成丝。"
曹勋,"雨昏连夜催炎暑。
暑炎催夜连昏雨。
长簟水波凉。
凉波水簟长。
翠鬟双倚醉。
醉倚双鬟翠。
香枕印红妆。
妆红印枕香。"
刘仙伦,"快阁东西，鸥边问、晚晴可喜。
鸥解语、既盟之後，两翁曾倚。
笛弄惯听黄鲁直，履声深识徐渊子。
添我来、相对两忘机，真相似。
也不种，闲桃李。
也不玩，佳山水。
有新诗字字，爱民而已。
一片心闲秋水外，三年人在春风里。
涨一篙、江水送归鸿，明朝是。"
石孝友,"把杯莫唱阳关曲。
行客去、居人恨局。
屏山似展江如簇。
不见尊前醉玉。
鹃啼处、怨声裂竹。
问後夜、兰舟那宿。
帛书早系征鸿足。
肠断弦孤怎续。"
吴文英,"岸压邮亭，路华表，堤树旧色依依。
红索新晴，翠阴寒食，天涯倦客重归。
叹废绿平烟带苑，幽渚尘香荡晚，当时燕子，无言对立斜晖。
追念吟风赏月，十载事，梦惹绿杨丝。
画船为市，夭妆艳水，日落云沈，人换春移。
谁更与、苔根洗石，菊井招魂，漫省连车载酒，立马临花，犹认荐红傍路枝。
歌断宴阑，荣华露草，冷落山丘，到此徘徊，细雨西城，羊昙醉後花飞。"
曹勋,"绿结阴浓，渐南风初到、旧家庭院。
细麦落花，圆荷浮叶，翠径受风新燕。
乍晴还雨香罗怯，惜柳絮、已将春远。
最好处，清和气暖，喜拈轻扇。
好对层轩邃馆。
供极目晴云，晓江横练。
煮酒试尝，梅子团青，草草也休辞劝。
待等闲暇寻胜去，又闲事、有时萦绊。
且趁取良辰，醉後莫管。"
曹勋,"惨惨西风。
人与两州俱不见，一江残照落霞红。
橹声中。
汀花苹草六朝空。
人向赏心增远恨，闲云犹绕建康宫。
古今同。"
秦观,"翡翠。
好容止。
谁使庸奴轻点缀。
裴郎一见心如醉。
笑里偷传深意。
罗衣中夜与门吏。
暗结城西幽会。"
王安中,"千古铜台今莫问。
流水浮云，歌舞西陵近。
烟柳有情开不尽。
东风约定年年信。
天与麟符行乐分。
带缓球纹，雅宴催云鬓。
翠雾萦纡销篆印。
筝声恰度秋鸿阵。"
晁补之,"夜引别佳人，梅小犹飘雪。
忍泪一春愁，过却花时节。
相见话相思，重与临风月。
休似那回时，无事还轻别。"
吕渭老,"别酒带愁酸，千里失群黄鹄。
行到小桥梯下，便飞云南北。
不妨垂手小徘徊，日影转阑曲。
从此贺囊佳制，有新奇题目。"
杨炎正,"把酒对斜阳，无语问西风。
胭脂何事，都做颜色染芙蓉。
放眼暮江千顷，中有离情万斛，无处落征鸿。
天在阑干角，人倚醉醒中。
千万里，江南北，浙西东。
吾生如寄，尚想三径菊花丛。
谁是中州豪杰，借我五湖舟楫，去作钓渔翁。
故园且回首，此意莫匆匆。"
史浩,"日永绣工，减却一线，节临短至。
幸有杯盘，随分快乐，□得醺醺醉。
寻思尘世，寒来暑往，冻极又还热炽。
恰如个、脾家疟疾，比著略长些子。
人生百岁，一年一发，且是不通医治。
两鬓青丝，皆伊染就，今已星星地。
除非炉内，龙盘虎绕，养得大丹神水。
却从他、阴阳自变，卦分泰否。"
高观国,"玉洁生英，冰清孕秀，一枝天地春早。
素盟江国芳寒，旧约汉宫梦晓。
溪桥独步，看洒落、仙人风表。
似妙句、何逊扬州，最惜细吟清峭。
香暗度、照影波渺。
春暗寄、付情云杳。
爱随青女横陈，更怜素娥窈窕。
调羹雅意，好赞助、清时廊庙。
羡韵高、只有松筠，共结岁寒难老。"
沈瀛,"停杯且止。
斋里百无为客喜。
冷淡文风。
只有狂言数百通。
不须载酒。
粗有五车聊当寿。
莫笑予何。
空恁贪多嚼不多。"
魏了翁,"有匪碧岩使，满腹鉴湖秋。
不居上界官府，来作散仙游。
长佩高冠人伟，组练锦袍官贵，清献旧风流。
杓柄长多少，洗尽蜀民愁。
冠，貂尾案，鹭鸶。
时来正恐不免，留滞剑南州。
帘卷西州风雨，庭伫百城歌鼓，桃李翠云绸。
谁谓蜀山远，只在殿山头。"
郭应祥,"三月一。
题舆恰届垂弧日。
垂弧日。
武安门外，欢声扬溢。
双瞳炯炯头如漆。
天公付与长生质。
长生质。
云霄稳坐，持荷簪笔。"
李曾伯,"懒上巍楼，楚江一望天无际。
漫游萍寄。
莫挽东流水。
一片秋光，直到山阴里。
人还记。
戍边归未。
更忆鲈鱼美。"
高观国,"万岩灵秀，拱崇台飞观，凭陵千尺。
清磬一声帘幕冷，无复宫娃消息。
响屉廊空，采香径古，尘土成遗迹。
石闲松老，断云空锁愁寂。
专宠谁比轻颦，楚腰吴艳，一笑无颜色。
风月荒凉罗绮梦，输与扁舟归客。
舞阕歌残，国倾人去，青草埋香骨。
五湖波淼，远空依旧涵碧。"
晏几道,"湘妃浦口莲开尽，昨夜红稀。
懒过前溪。
闲舣扁舟看雁飞。
去年谢女池边醉，晚雨霏微。
记得归时。
旋折新荷盖舞衣。"
郭应祥,"送我匆匆行色，赖君衮衮名章。
德星今夜聚清湘。
岂羡瀛洲方丈。
宾醉须教主醉，更长不怕杯长。
凤鸣端合在朝阳。
飞诏来从天上。"
欧阳修,"南园粉蝶能无数。
度翠穿红来复去。
倡条冶叶恣留连，飘荡轻於花上絮。
朱阑夜夜风兼露。
宿粉栖香无定所。
多情翻却似无情，赢得百花无限妒。"
吴文英,"画船帘密不藏香。
飞作楚云狂。
傍怀半卷金炉烬，怕暖销、春日朝阳。
清馥晴熏残醉，断烟无限思量。
凭阑心事隔垂杨。
楼燕锁幽妆。
梅花偏恼多情月，慰溪桥、流水昏黄。
哀曲霜鸿凄断，梦魂寒蝶幽扬。"
晏殊,"宿蕊斗攒金粉闹。
青房暗结蜂儿小。
敛面似啼开似笑。
天与貌。
人间不是铅华少。
叶软香清无限好。
风头日脚乾催老。
待得玉京仙子到。
凭向道。
红颜只合长年少。"
刘克庄,"开阁广延贤，负勤求旧。
应念南宫老舍人，闲袖丝纶手。
两制必当仁，五福无过寿。
且喜新年不要□，天要开元。"
苏轼,"拼沈醉、金荷须满。
怕年年此际，催归禁，侍黄柑宴。"
陈允平,"柳丝挽得秋光住。
肠断驿亭离别处。
斜阳一片水边楼，红叶满天江上路。
来鸿去雁知何数。
欲问归期朝复暮。
晚风亭院倚阑干，两岸芦花飞雪絮。"
韩玉,"月里一枝桂，不付等闲人。
昔年霄汉，闻道争者尽输君。
衣袖天香犹在，风度仙清难老，冰雪莹无尘。
赋才三十倍，论寿八千春。
夏庭芝，周室凤，舜郊麟。
岂如今日称瑞，皇国再生申。
聊借济时霖雨，来种重湖桃李，和气一番新。
尚闻虚黄阁，行看秉洪钧。"
袁去华,"马上催归，枕边唤起，谢他闲管闲愁。
正难行处，云木叫钩。
似笑天涯倦客，区区地、著甚来由。
真怜我，提壶劝饮，一醉散千忧。
人生，谁满百，闲中最乐，饱外何求。
算苦无官况，莫要来休。
住个溪山好处，随缘老、蜡屐渔舟。
虽难比，东山绿野，得似个优游。"
苏轼,"缥缈红妆照浅溪。
薄云疏雨不成泥。
送君何处古台西。
废沼夜来秋水满，茂林深处晚莺啼。
行人肠断草凄迷。"
吴潜,"万里西风，吹我上、滕王高阁。
正槛外、楚山云涨，楚江涛作。
何处征帆木末去，有时野鸟沙边落。
近帘钩、暮雨掩空来，今犹昨。
秋渐紧，添离索。
天正远，伤飘泊。
叹十年心事，休休莫莫。
岁月无多人易老，乾坤虽大愁难著。
向黄昏、断送客魂消，城头角。"
刘辰翁,"吾年如此，更梦里、犹作狼居胥意。
千首新诗千斛酒，管甚侯何侯齿。
员峤波翻，瀛洲尘败，吾屐能销几。
经丘寻壑，是他早计迟计。
犹记辰巳嗟嗟，故人贺我，且勉呼君起。
五十不来来过二，方悟人言都戏。
以我情怀，借公篇韵，恨不天为纸。
馀生一笑，不须邴曼容例。"
吴文英,"秋千争闹粉墙。
闲看燕紫莺黄。
啼到绿阴处，唤回浪子闲忙。
春光。
春光。
正是拾翠寻芳。"
毛滂,"记瞢腾，浓睡里，一片行云。
未多时、梦破云惊。
听辘轳，声断也，井底银瓶。
不知罗带，等闲便、结得同心。
系画船，杨柳岸，晓月亭亭。
记阳关、断韵残声。
被西风，吹玉枕，酒魄还清。
有些言语，独自个、说与谁应。"
刘辰翁,"书题拂拂洞庭香。
孕云黄。
粲珠光。
唤谪仙人，除是贺知章。
未老得闲闲到老，无一事，和诗忙。
是中曾著老人双。
送千觞。
乐谁妨。
世上输赢，不似烂柯长。
晚入耆英年最少，空结客，少年场。"
黄裳,"世间言笑，天上谁欢聚。
河汉涵秋静无暑。
望丹霄杳杳，云幄俄开，缘会远，空引时情万缕。
彩楼人送目，今夕无双，巧在灵丝暗相许。
爽气御西风，众乐难寻，乘槎看、鹊桥初度。
过几刻良时、早已分飞，向月下何辞，十分芳醑。"
周紫芝,"江梅吹尽，更幽兰香度。
可惜浓春为谁住。
最嫌他、无数轻薄桃花，推不去，偏守定、东风一处。
病来应怕酒，□眼常醒，老去羞春似无语。
准拟强追随，管领风光，人生只、欢期难预。
纵留得、梨花做寒食，怎吃他朝来，这般风雨。"
吕渭老,"春将半。
莺声乱。
柳丝拂马花迎面。
小堂风。
暮楼锺。
草色连云，暝色连空。
重重。
秋千畔。
何人见。
宝钗斜照春妆浅。
酒霞红。
与谁同。
试问别来，近日情。
忡忡。"
刘克庄,"近来塞上，喜蜡弹、羽书清省。
更万灶分屯，百年和籴，惭傀而今半省。
蒙鞑残兵骑猪遁，永绝生侵省。
做个太平民，戴花身健，催租符省。
何幸。
行人来密，佥军抽省。
但进有都俞，退无科琐，不用依时出省。
子厚南宫，仲舒西掖，又报岑参东省。
趁此际、纳禄悬车，亦为大司农省。"
廖行之,"苍立箨龙秀，青压雨梅肥。
清和天气，无限佳景属斯时。
试听虞弦初理，便有熏兮入奏，风物正熙熙。
此日定何日，香篆袅金猊。
记当年，两荚，应熊罴。
男儿壮志，端在伊傅与皋夔。
况是从容书史，养就经纶功业，早晚帝王师。
但了公家事，方与赤松期。"
丘,"时节近中秋，桂花天气。
忆得熊罴梦呈瑞。
向来三度，恨被一官萦系。
今朝称寿，也休辞醉。
斑衣戏彩，薄罗初试。
华发双亲剩欢喜。
功名荣贵，未要匆匆深计。
一杯先要祝，千百岁。"
蔡伸,"溪声咽。
溪上有人离别。
别语叮咛和泪说。
罗巾沾泪血。
尽做刚肠如铁。
到此也应愁绝。
回首断山帆影灭。
画船空载月。"
张纲,"雨洗轩庭迎晚照。
黄菊才芳，未觉秋光老。
怪底烘堂添语笑。
娥此夜来蓬岛。
献寿新词谁解道。
满眼儿孙，著语皆争巧。
潋滟金杯休惜。
追欢不怕霜天晓。"
吴文英,"宴兰溆，促奏丝萦管裂飞繁响。
似汉宫人去，夜深独语，胡沙凄哽。
对雁斜玫柱，琼琼弄月临秋影。
凤吹远，河汉去杳，天风飘冷。
泛清商竟。
转铜壶敲漏，瑶床二八青娥，环佩再整。
菱歌四碧无声，变须臾、翠翳红暝。
叹梨园、今调绝音希，愁深未醒。
桂楫轻如翼，归霞时点清镜。"
向子,"绿绕红围宋玉墙。
幽兰林下正芬芳。
桃花气暖玉生香。
谁道广平心似铁，艳妆高韵两难忘。
苏州老矣不能狂。"
周邦彦,露夜烟梢寒色重，攒星低映小珠帘。
黄庭坚,"罗带双垂，妙香长恁携纤手。
半妆红豆。
各自相思瘦。
闻道伊家，终日眉儿皱。
不能勾。
泪珠轻溜。
损揉蓝袖。"
陈师道,"春风吹尽秋光照，瘦减初黄。
改样新妆。
特地相逢只认香。
南台九日登临处，不共飞觞。
镜里伊傍。
独秀钗头殿众芳。"
卢炳,"无端风雨送清秋。
天气冷飕飕。
行人先自离索，直是不禁愁。
思往事，忆前游。
泪难收。
重阳近也，黄花依旧，谁伴清瓯。"
张孝祥,"湘江东畔，去年今日，堂上簪缨罗绮。
弟兄同拜寿尊前，共一笑、欢欢喜喜。
渚宫风月，边城鼓角，更好亲庭一醉。
醉时同唱去年词，愿来岁、强如今岁。"
吴潜,"苍龙夭矫停今雨。
正不待、云吞雾吐。
绝笑大夫松，今古闲言语。
清光冷艳侵入处。
漏月影、婆娑自舞。
拟作岁寒人，此愿天应许。"
方千里,"四山翠合，一溪碧绕秋容靓。
波定。
见鹭立鱼跳动平镜。
修林散步，古木通幽径。
风静。
烟雾直、池塘倒晴影。
流年旧事，老矣尘心莹。
还暗省。
点吴霜、憔悴愧潘令。
梦忆江南，小园路迥。
愁听。
叶落辘轳金井。"
洪适,"天末相逢，醉中不讶车茵污。
一声鸣橹。
惊散眠沙鹭。
我是行人，却送行人去。
听金缕。
莫辞甘醑。
别泪飞寒雨。"
刘过,"长短驿亭南北路，蒙茸醉拥驼裘。
雪天行计欠人留。
严风催酒醒，微雨替梅愁。
自作小词呵冻写，冷金淡衬银钩。
此情知得几时休。
寒云迷洛浦，残梦绕秦楼。"
丘,"十分风味似诗人。
有些子太清生。
只应最嫌俗子，消瘦却盈盈。
风乍静，雪初晴。
月微明。
泊然疏淡，莫是无情，作个关情。"
黄庭坚,"要见不得见，要近不得近。
试问得君多少怜，管不解、多於恨。
禁止不得泪，忍管不得闷。
天上人间有底愁，向个里、都谙尽。"
柳永,"蘅皋向晚舣轻航。
卸云帆、水驿鱼乡。
当暮天、霁色如晴昼，江练静、皎月飞光。
那堪听、远村羌管，引离人断肠。
此际浪萍风梗，度岁茫茫。
堪伤。
朝欢暮宴，被多情、赋与凄凉。
别来最苦，襟袖依约，尚有馀香。
算得伊、鸳衾凤枕，夜永争不思量。
牵情处，惟有临歧，一句难忘。"
张抡,"闲中一片□□□。
□□□□□。
□□□澄秋水，明月夜□□。
□□□，□□□。
□□□。
鹤长凫短，前定难□，□□□□。"
柳永,"雅欢幽会，良辰可惜虚抛掷。
每追念、狂踪旧迹。
长祗恁、愁闷朝夕。
凭谁去、花衢觅。
细说此中端的。
道向我、转觉厌厌，役梦劳魂苦相忆。
须知最有，风前月下，心事始终难得。
但愿我、虫虫心下，把人看待，长似初相识。
况渐逢春色。
便是有、举场消息。
待这回、好好怜伊，更不轻离拆。"
张元干,"不怕微霜点玉肌。
恨无流水照冰姿。
与君著意从头看，初见东南第一枝。
人散後，雪晴时。
陇头春色寄来迟。
使君本是花前客，莫怪殷勤为赋诗。"
韩元吉,"诏书昨夜催春到。
绿野花争早。
几枝先见海棠开。
全胜陇头冲雪、寄江梅。
破寒滴滴娇如醉。
不比春饶睡。
万红千紫莫嫌迟。
看取满城花送、衮衣归。"
