author,content
周密,"虹雨霉风，翠萦苹渚，锦翻葵径。
正小亭、曲沼幽深，簟枕梦回，苔色槐阴清润。
暗忆兰汤初洗玉，衬碧雾笼绡垂蕙领。
轻妆了，袅凉花绛缕，香满鸾镜。
人闲午迟漏永。
看双燕将雏穿藻井。
喜玉壶无暑，凉涵荷气，波摇帘影。
画舸西湖浑如旧，又菰冷蒲香惊梦醒。
归舟晚，听谁家、紫箫声近。"
史浩,"远岫数堆苍玉髻。
平湖千顷碧琉璃。
笙歌催我上船时。
载月有如浮玉鉴，采莲还复拥燕脂。
更於何处觅瑶池。"
陆游,"陌上箫声寒食近。
雨过园林，花气浮芳润。
千里斜阳锺欲瞑。
凭高望断南楼信。
海角天涯行略尽。
三十年间，无处无遗恨。
天若有情终欲问。
忍教霜点相思鬓。"
陆游,"闷已萦损。
那堪多病。
几曲屏山，伴人昼静。
梁燕催起犹慵。
换熏龙。
新愁旧恨何时尽。
渐凋绿鬓。
小雨知花信。
芳笺寄与何处，绣阁珠栊。
柳阴中。"
欧阳修,"刘郎何日是来时。
无心云胜伊。
行云犹解傍山飞。
郎行去不归。
强匀画，又芳菲。
春深轻薄衣。
桃花无语伴相思。
阴阴月上时。"
沈端节,"冰池轻皱。
喜寒律乍回，微阳初透。
岁晚云黄，日晴烟暖，昼刻暗添宫漏。
山色岸容都变，春意欲传官柳。
最好处，正酥融粉薄，一枝梅瘦。
行乐，春渐近，景胜欢长，幼眇丝簧奏。
鸣玉行，退朝花院，犹有御香沾袖。
试问西邻虽富，何似东皋依旧。
趁未老，便优游林壑，围棋把酒。"
侯置,"客里忽忽梦帝州。
故人相遇一杯休。
疏梅些子最清幽。
双绾香螺春意浅，缓歌金缕楚云留。
不知妆镜若为俦。"
朱敦儒,"枕海山横，陵江潮去，雉堞秋风残照。
闲寻桂子，试听菱歌，湖上晚来凉好。
几处兰舟，采莲游女，归去隔花相恼。
奈长安不见，刘郎已老，暗伤怀抱。
谁信得、旧日风流，如今憔悴，换却五陵年少。
逢花倒，遇酒坚辞，常是懒歌慵笑。
除奉天威，扫平狂虏，整顿乾坤都了。
共赤松携手，重骑明月，再游蓬岛。"
夏元鼎,"达磨西来说道，十年面壁安丹。
争知水火不交煎。
因果谩成罗汉。
仰箭射空力尽，依然坠地何言。
虚空拶破强参禅。
肯把金丹烧炼。"
吴潜,"红药将残，绿荷初展。
森森竹里闲庭院。
一炉香烬一瓯茶，隔墙听得黄鹂啭。
陌上春归，水边人远。
尽将前事思量遍。
流光冉冉为谁忙，小桥伫立斜阳晚。"
侯置,"露英云萼一般清。
揉雪更雕琼。
预喜重阳登览，大家插帽浮觥。
分香减翠，殷勤远寄，珍重多情。
不似绮窗双艳，向人解语倾城。"
辛弃疾,"造物故豪纵，千里玉鸾飞。
等闲更把，万斛琼粉盖颇黎。
好卷垂虹千丈，只放冰壶一色，云海路应迷。
老子旧游处，回首梦耶非。
谪仙人，鸥鸟伴，两忘机。
掀髯把酒一笑，诗在片帆西。
寄语烟波旧侣，闻道莼鲈正美，休制芰荷衣。
上界足官府，汗漫与君期。"
吴文英,"入眼青红，小玲珑、飞檐度云微湿。
绣槛展春，金屋宽花，谁管采菱波狭。
翠深知是深多少，不都放、夕阳红入。
待装缀，新漪涨翠，小圜荷叶。
此去春风满箧。
应时锁蛛丝，浅虚尘榻。
夜雨试灯，晴雪吹梅，趁取玳簪重盍。
卷帘不解招新燕，春须笑、酒悭歌涩。
半窗掩，日长困生翠睫。"
张孝祥,"油幢画戟。
玉铉调春色。
勋阀诸郎俱第一。
风流前辈敌。
玉人双华х。
翠云深处消摇。
有客留君东阁，时闻风下笙箫。"
吴文英,"堕虹际。
层观翠冷玲珑，五云飞起。
玉虬萦结城根，澹烟半野，斜阳半市。
瞰危睇。
门巷去来车马，梦游宫蚁。
秦鬟古色凝愁，镜中暗换，明眸皓齿。
东海青桑生处，劲风吹浅，瀛洲清。
山影泛出琼壶，碧树人世。
枪芽焙绿，曾试云根味。
岩流溅、涎香惯搅，娇龙春睡。
露草啼清泪。
酒香断到，文丘废隧。
今古秋声里。
情漫黯、寒鸦孤村流水。
半空画角，落梅花地。"
吕渭老,"晓参垂户宿酲醒。
坐南亭。
对疏星。
点点萤光，偏向竹梢明。
望断长空何处是，云叶乱，彩霞横。
西楼依旧抱重城。
小银屏。
此时情。
鸦阵翻丛，枯柳两三声。
枕欲寻初夜梦，鸡唱远，晓蟾倾。"
吴文英,"衣白苎，雪面堕愁鬟。
不识朝云行雨处，空随春梦到人间。
留向画图看。
慵临镜，流水洗花颜。
自织苍烟湘泪冷，谁捞明月海波寒。
天澹雾漫漫。"
吕胜己,"芳思切，旧事不堪重说。
浓露凝香花喷血。
花心双蛱蝶。
燕语莺啼都歇。
又过清明时节。
记得离歌三两阕。
未歌先哽咽。"
程,"未岁嘉平，初旬日四，雪中归自崇唐。
山林湖海，一气接苍茫。
踏尽玉龙千丈，更一望、龙尾天长。
须臾上，高峰四顾，迤逦过前冈。
群山，如玉削，松林百万，尽傅琼霜。
浑疑是天际，一鹤翱翔。
人道玉皇三六，欲一叩、风力方刚。
明朝好，金乌衔烛，八表散祥光。"
翁元龙,"天阔玉屏空。
轻阴弄、淡墨画秋容。
正凉挂半蟾，酒醒窗下，露催新雁，人在山中。
又一片，好秋花占了，香换却西风。
箫女夜归，帐栖青凤，镜娥妆冷，钗坠金虫。
西湖花深窈，闲庭砌、曾占席地歌钟。
载取断云归去，几处房栊。
恨小帘灯暗，粟肌消瘦，薰炉烟减，珠袖玲珑。
三十六宫清梦，还与谁同。"
赵师侠,"天共水，水远与天连。
天净水平寒月漾，水光月色两相兼。
月映水中天。
人与景，人景古难全。
景若佳时心自快，心远乐处景应妍。
休与俗人言。"
葛立方,"霜叶停飞，冰鱼初跃，梅花犹芳丛。
剪酥装玉，应为费天工。
争奈江南驿使，征鞍待、一朵香浓。
凭谁报，冰肌仙子，闻早驾飞龙。
溶溶。
春意动，寒姿未展，终愧群红。
与斩新来上，开伴长松。
要看黄昏庭院，横斜映、霜月朦胧。
兰堂畔，巡檐索笑，谁羡杜陵翁。"
李流谦,"生别有相逢，死别无消息。
说著从前总是愁，只是不相忆。
月堕半窗寒，梦里分明识。
却似人不忆他，花露盈盈湿。"
曾觌,"雨过风微。
温泉浴倦，妃子妆迟。
翠袖牵云，朱唇得酒，脸晕胭脂。
年年海燕新归。
怎奈向、黄昏恁时。
倚遍琼干，烧残银烛，花又争知。"
辛弃疾,"阮琴斜挂香罗绶。
玉纤初试琵琶手。
桐叶雨声乾。
真珠落玉盘。
朱弦调未惯。
笑倩春风伴。
莫作别离声。
且听双凤鸣。"
仲殊,"金蟠龙尾，莲开舞凤头。
凉生宫殿不因秋。
门外莫寻尘世，卷地江流。
霁色澄千里，潮声带两洲。
月华轻泛浪花浮。
今夜蓬莱归梦，十二琼楼。"
晏殊,"喜秋成。
见千门万户乐升平。
金风细，玉池波浪文生。
宿露沾罗幕，微凉入画屏。
张绮宴，傍熏炉蕙炷、和新声。
神仙雅会，会此日，象蓬瀛。
管弦清，旋翻红袖学飞琼。
光阴无暂住，欢醉有闲情。
祝辰星。
愿百千为寿、献瑶觥。"
周邦彦,"朝云漠漠散轻丝。
楼阁淡春姿。
柳泣花啼，九街泥重，门外燕飞迟。
而今丽日明金屋，春色在桃枝。
不似当时，小桥冲雨，幽恨两人知。"
吴文英,"窗外捎溪雨响。
映窗里、嚼花灯冷。
浑似潇湘系孤艇。
见幽仙，步凌波，月边影。
香苦欺寒劲。
牵梦绕、沧涛千顷。
梦觉新愁旧风景。
绀云，玉搔斜，酒初醒。"
史达祖,"睡袖无端几摺香。
有人丹脸可占霜。
半窗月印梅犹瘦，一律瓶笙夜正长。
情艳艳，酒狂狂。
小屏谁与画鸳鸯。
解衣恰恨敲金钏，惊起春风傍枕囊。"
赵鼎,"靡靡流光，凄凄风露，小园草木初凋。
杳然尘影，爽气界天高。
爱此佳名重九，随宜对、秋菊持醪。
登临处，哀蝉断响，燕雁度云霄。
闲谣。
情缅邈，相寻万化，人世徒劳。
念胸中百虑，何物能消。
欲致颓龄不老，和金茎、一醉陶陶。
君休问，千年事往，聊与永今朝。"
陈著,"中秋佳月最端圆。
老痴顽。
见多番。
杯酒相延，今夕不应悭。
残雨如何妨乐事，声淅淅，点斑斑。
天应有意故遮阑。
拍人间。
等闲看。
好处时光，须用著些难。
直待黄昏风卷霁，金滟滟，玉团团。"
杜安世,"露落风高桐叶坠。
小庭院、秋凉佳气。
兰堂聚饮华筵启。
罢令曲、呈珠缀。
晚天行云凝香袂。
新声内、分明心意。
玉炉初喷檀烟起。
敛愁在、双蛾翠。"
黄庭坚,"碧天露洗春容净。
淡月晓收残晕。
花上密烟飘尽。
花底莺声嫩。
云归楚峡厌厌困。
两点遥山新恨。
和泪暗弹红粉。
生怕人来问。"
王质,"枯林荒陌，矮树敷鲜叶。
不见雅风标，十二分、山容野色。
因何嫩茁，舞动小旗枪，梅花後，杏花前，色味香三绝。
含光隐耀，尘土埋豪杰。
试看大粗疏，争知变、寒云飞雪。
休说休说，世只两名花，芍药相，牡丹王，未尽人间舌。"
葛长庚,"桃花开尽，正溪南溪北，春风春雨。
寒食清明都过了，愁杀一声杜宇。
醉跨蹇驴，踏翻芳草，满满斟鹦鹉。
游仙梦觉，不知身在何处。
因甚青鸟不来，一年春事，拈指都如许。
人在白云流水外，多少莺啼燕语。
遣兴成诗，烹茶解酒，日落蔷薇坞。
玉龙嘶断，乱鸦惊起无数。"
王质,"驿尘飞，天意紧。
香雪芝封，犹带吴泥润。
昨夜宝奁开玉镜。
一点西风，便觉寒秋近。
白苹洲，红蓼径。
风露凄清，快促黄金镫。
叠叠重重听好信。
掷了碧油幢，更掷双堂印。"
苏轼,"怪此花枝怨泣，托君诗句名通。
凭将草木记吴风。
继取相如云梦。
点笔袖沾醉墨，谤花面有惭红。
知君却是为情。
怕见此花撩动。"
赵善括,"三十年前，曾向此、舞风歌月。
今依旧、江山如画，鬓须如雪。
故友冥鸿随净社，旧时秋蚓横尘壁。
赖庐峰、对我眼偏青，曾相识。
开岫幌，携山屐。
泉泻布，星飞石。
为收帆舣棹，小留终日。
休问重湖吹碧浪，且同五老浮琼液。
待明朝、首向东飞，清风力。"
